title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
RESONATE 1794	Bits	Bits	4500	10500	5500	18.13	18.074									FALSE	5	NP	F	0	-	469		TRUE	10	EX	AA	1295	8	745	1.81300000E+001	TRUE	11	NC	A	1386	45	951										FALSE	4	NP	F	0	-	469		TRUE	11	EX	AA	1291	7	744	1.80740000E+001																	
earth scape	Base	Base	0	0	0	18.375	14.25									TRUE	2	NP	F	0	-	230		TRUE	5	NP	F	0	-	530		TRUE	7	FC	AAA	1225	1	644	1.83750000E+001									TRUE	2	FC	AAA	420	0	230		TRUE	6	FC	AAA	950	0	507	1.42500000E+001																	
Close my Eyes for Me	Bits	Bits	5000	8000	10000	17.719	24.024									FALSE	5	NP	F	0	-	529		FALSE	8	NP	F	0	-	755		TRUE	9	HC	A	1363	31	948	1.77190000E+001									FALSE	5	NP	F	0	-	521		FALSE	8	NP	F	0	-	751		TRUE	11	EX	AA	1716	14	1058	2.40240000E+001									
ピアノ協奏曲第1番"蠍火"	Bits	Bits	5000	10500	12000	22.352	36.531									FALSE	5	NP	F	0	-	422		TRUE	11	F	A	1679	-	1111		TRUE	12	F	A	2032	79	1414	2.23520000E+001									FALSE	5	NP	F	0	-	473		TRUE	10	EX	AA	1831	11	1031		TRUE	12	HC	AA	2706	70	1730	3.65310000E+001									
INJECTION OF LOVE	Bits	Bits	3500	6500	4500	0	13.1225									FALSE	4	NP	F	0	-	343		TRUE	6	NP	F	0	-	532		FALSE	9	NP	F	0	-	769										FALSE	3	NP	F	0	-	359		TRUE	7	FC	AA	905	2	553	1.31225000E+001																	
The Hope of Tomorrow	Bits	Bits	5500	8500	10000	0	26.1145									FALSE	5	NP	F	0	-	536		FALSE	8	NP	F	0	-	874		TRUE	10	NP	F	0	-	992										FALSE	6	NP	F	0	-	535		FALSE	9	FC	AAA	1558	2	855		TRUE	10	EX	AAA	1801	4	989	2.61145000E+001									
RED ZONE	Base	Base	0	0	0	15.288	36.54	TRUE	1	NP	F	0	-	89		TRUE	5	NP	F	0	-	567		TRUE	9	NP	F	0	-	975		TRUE	11	EC	B	1456	74	1184	1.52880000E+001	TRUE	12	NP	F	0	-	1566		TRUE	5	NP	F	0	-	611		TRUE	9	NP	F	0	-	941		TRUE	11	EX	AA	2069	12	1232		TRUE	12	EX	AA	2610	17	1502	3.65400000E+001	
Be quiet	Bits	Bits	5500	8500	11000	23.598	35.3025									FALSE	5	NP	F	0	-	559		FALSE	9	NP	F	0	-	894		TRUE	11	HC	AA	1748	19	1114	2.35980000E+001	TRUE	12	NP	F	0	-	1463		FALSE	6	NP	F	0	-	558		FALSE	8	NP	F	0	-	861		TRUE	11	EX	AA	1856	6	1055		TRUE	12	HC	AA	2615	36	1614	3.53025000E+001	
AGEHA	Bits	Bits	5000	7500	8500	0	33.858	TRUE	3	NP	F	0	-	305		FALSE	5	NP	F	0	-	537		FALSE	8	NP	F	0	-	888		TRUE	9	NP	F	0	-	948		TRUE	11	NP	F	0	-	1232		FALSE	5	NP	F	0	-	464		FALSE	7	NP	F	0	-	689		TRUE	8	EX	AAA	1711	2	903		TRUE	11	HC	AA	2508	13	1460	3.38580000E+001	
gigadelic	Bits	Bits	9500	12000	12000	25.48	31.836	TRUE	3	NP	F	0	-	355		TRUE	9	NP	F	0	-	771		TRUE	12	HC	A	1592	41	1116		TRUE	12	HC	A	1960	14	1301	2.54800000E+001									TRUE	10	EX	AAA	1417	4	754		TRUE	12	EX	AAA	2019	18	1110		TRUE	12	EX	AA	2274	16	1344	3.18360000E+001									
HORIZON	Bits	Bits	5000	7000	8500	0	27.927									FALSE	5	NP	F	0	-	546		TRUE	7	NP	F	0	-	786		TRUE	8	NP	F	0	-	990										FALSE	5	NP	F	0	-	547		TRUE	7	EX	AAA	1583	3	818		TRUE	9	EX	AAA	1926	6	1027	2.79270000E+001									
AA	Base	Base	0	0	0	38.907	41.132									TRUE	5	NP	F	0	-	642		TRUE	10	NP	C	1305	161	1386		TRUE	12	HC	AA	2882	27	1834	3.89070000E+001									TRUE	5	NP	F	0	-	659		TRUE	9	EX	AAA	1836	4	997		TRUE	12	EX	AA	2938	16	1739	4.11320000E+001									
D.A.N.C.E.!	Base	Base	0	0	0	0	18.69									TRUE	3	NP	F	0	-	299		TRUE	5	NP	F	0	-	431		TRUE	10	NP	F	0	-	826										TRUE	3	NP	F	0	-	298		TRUE	5	NP	F	0	-	425		TRUE	8	FC	AAA	1246	1	653	1.86900000E+001									
NEBULA GRASPER	Bits	Bits	6500	9000	10500	0	27.513									FALSE	6	NP	F	0	-	691		FALSE	9	NP	F	0	-	1029		TRUE	10	NP	F	0	-	1241										FALSE	7	NP	F	0	-	724		FALSE	9	NP	F	0	-	1029		TRUE	11	HC	AA	2038	32	1155	2.75130000E+001									
Raspberry♡Heart (English version)	Bits	Bits	5500	8000	9500	0	23.8235									FALSE	5	NP	F	0	-	531		FALSE	8	NP	F	0	-	797		TRUE	9	NP	F	0	-	932										FALSE	6	FC	AAA	973	1	524		FALSE	8	NP	F	0	-	772		TRUE	10	EX	AAA	1643	9	901	2.38235000E+001									
GENOCIDE	Bits	Bits	6000	11000	11500	15.5505	28.379									FALSE	6	NP	F	0	-	587		TRUE	10	NP	F	0	-	1103		TRUE	11	EC	B	1481	106	1222	1.55505000E+001									FALSE	6	NP	F	0	-	588		TRUE	12	HC	A	1836	41	1211		TRUE	12	HC	A	2183	58	1456	2.83790000E+001									
double thrash	Bits	Bits	5500	10000	5000	0	23.9085									FALSE	6	NP	F	0	-	527		TRUE	10	NP	F	0	-	1066		TRUE	10	NP	F	0	-	1206										FALSE	5	NP	F	0	-	527		TRUE	10	HC	AA	1771	20	1048	2.39085000E+001																	
キャッシュレスは愛情消すティッシュ	Bits	Bits	4000	8000	10000	0	29.5365									FALSE	4	NP	F	0	-	409		FALSE	8	NP	F	0	-	689		TRUE	10	NP	F	0	-	1079										FALSE	4	NP	F	0	-	409		FALSE	8	NP	F	0	-	689		TRUE	10	EX	AAA	2037	3	1075	2.95365000E+001									
Little Little Princess	Base	Base	0	0	0	19.8345	45.7785									TRUE	5	NP	F	0	-	558		TRUE	10	NP	F	0	-	1118		TRUE	11	EC	B	1889	113	1420	1.98345000E+001	TRUE	12	NP	F	0	-	1946		TRUE	5	NP	F	0	-	560		TRUE	10	EX	AAA	2133	8	1171		TRUE	11	EX	AAA	2933	7	1610		TRUE	12	HC	AA	3391	58	2035	4.57785000E+001	
ヒマワリ	Bits	Bits	3500	8500	9500	0	0									FALSE	3	NP	F	0	-	285		FALSE	9	NP	F	0	-	947		TRUE	10	NP	F	0	-	1042										FALSE	4	NP	F	0	-	396		FALSE	8	NP	F	0	-	856		TRUE	9	NP	F	0	-	943										
冥	Bits	Bits	5000	10500	12000	28.402	29.128	TRUE	3	NP	F	0	-	302		FALSE	5	NP	F	0	-	555		TRUE	10	NC	C	1167	87	1111		TRUE	12	NC	B	2582	140	2000	2.84020000E+001									FALSE	5	NP	F	0	-	555		TRUE	11	EX	AA	1829	9	1104		TRUE	12	NC	B	2648	132	2000	2.91280000E+001									
MOON RACE	Bits	Bits	5000	8500	4500	0	16.2545									FALSE	5	NP	F	0	-	434		TRUE	7	NP	F	0	-	598		TRUE	9	NP	F	0	-	957										FALSE	5	NP	F	0	-	433		TRUE	10	EX	AAA	1121	7	598	1.62545000E+001																	
LESSON 5	Bits	Bits	5000	7500	10000	28.154	34.342									FALSE	5	NP	F	0	-	654		FALSE	8	NP	F	0	-	949		TRUE	9	EX	AA	2011	15	1261	2.81540000E+001									FALSE	5	NP	F	0	-	542		FALSE	7	NP	F	0	-	939		TRUE	11	EX	AA	2453	17	1471	3.43420000E+001									
rage against usual	Bits	Bits	6500	10000	11500	0	29.806									FALSE	7	NP	F	0	-	697		TRUE	10	NP	F	0	-	1060		TRUE	12	NP	F	0	-	1527										FALSE	6	NP	F	0	-	697		TRUE	10	NP	F	0	-	1081		TRUE	11	EX	AA	2129	11	1215	2.98060000E+001									
INAZUMA	Base	Base	0	0	0	0	40.365									TRUE	5	NP	F	0	-	561		TRUE	9	NP	F	0	-	930		TRUE	11	NP	F	0	-	1368		TRUE	12	NP	F	0	-	2042		TRUE	6	NP	F	0	-	584		TRUE	9	HC	A	1265	20	917		TRUE	12	HC	A	2415	35	1554		TRUE	12	HC	AA	2990	28	1902	4.03650000E+001	
HAPPY☆ANGEL	Base	Base	0	0	0	19.5	29.2755	TRUE	3	NP	F	0	-	332		TRUE	5	EX	AAA	1038	2	555		TRUE	7	NP	F	0	-	782		TRUE	10	HC	A	1500	41	1052	1.95000000E+001									TRUE	6	NP	F	0	-	555		TRUE	7	NP	F	0	-	776		TRUE	10	EX	AAA	2019	5	1073	2.92755000E+001									
EDEN	Base	Base	0	0	0	38.691	45.4865									TRUE	6	NP	F	0	-	660		TRUE	9	NP	F	0	-	969		TRUE	10	HC	AA	2139	49	1363		TRUE	11	HC	AA	2866	35	1637	3.86910000E+001	TRUE	7	NP	F	0	-	640		TRUE	8	NP	F	0	-	733		TRUE	10	EX	AAA	2620	4	1377		TRUE	11	EX	AAA	3137	11	1647	4.54865000E+001	
CaptivAte～浄化～	Base	Base	0	0	0	16.38	29.932									TRUE	5	F	E	268	-	541		TRUE	9	F	D	795	-	946		TRUE	11	EC	B	1560	81	1243	1.63800000E+001									TRUE	5	NP	F	0	-	540		TRUE	9	NP	F	0	-	936		TRUE	11	EX	AA	2138	22	1235	2.99320000E+001									
Catch Me	Bits	Bits	4500	8500	10000	15.6975	22.12									FALSE	5	NP	F	0	-	405		FALSE	8	NP	F	0	-	678		TRUE	10	EC	A	1365	53	925	1.56975000E+001									FALSE	4	NP	F	0	-	403		FALSE	9	NP	F	0	-	685		TRUE	10	EX	AA	1580	11	922	2.21200000E+001									
月光	Bits	Bits	4500	8500	10000	0	31.5955									FALSE	5	NP	F	0	-	455		FALSE	8	NP	F	0	-	900		TRUE	10	NP	F	0	-	1246										FALSE	4	NP	F	0	-	440		FALSE	9	NP	F	0	-	922		TRUE	10	EX	AAA	2179	8	1175	3.15955000E+001									
Under the Sky	Bits	Bits	4500	7000	9000	0	23.715									FALSE	5	NP	F	0	-	458		FALSE	7	NP	F	0	-	710		TRUE	9	NP	F	0	-	875										FALSE	4	NP	F	0	-	390		FALSE	7	NP	F	0	-	670		TRUE	9	FC	AAA	1581	1	830	2.37150000E+001									
Xepher	Base	Base	0	0	0	22.633	35.826	TRUE	3	NP	F	0	-	205		TRUE	5	NP	F	0	-	571		TRUE	10	HC	A	1741	33	1135	2.26330000E+001	TRUE	11	NP	B	1790	111	1520										TRUE	5	NP	F	0	-	559		TRUE	10	NP	F	0	-	1089		TRUE	11	EX	AA	2559	10	1498	3.58260000E+001									
Twelfth Style	Bits	Bits	6000	8000	9500	0	39.4605									FALSE	6	NP	F	0	-	630		FALSE	7	NP	F	0	-	778		TRUE	10	NP	F	0	-	1033		TRUE	12	NP	F	0	-	1684		FALSE	6	NP	F	0	-	707		FALSE	9	NC	A	1429	12	976		TRUE	9	EX	AAA	2035	3	1070		TRUE	12	HC	AA	2923	24	1748	3.94605000E+001	
I am	Bits	Bits	5000	8000	5000	21.8125	25.86									FALSE	5	NP	F	0	-	555		TRUE	8	NP	F	0	-	883		TRUE	10	NC	AA	1745	68	1096	2.18125000E+001									FALSE	5	NP	F	0	-	611		TRUE	8	FC	AAA	1724	1	883	2.58600000E+001																	
合体せよ！ストロングイェーガー！！ (Ryu☆ remix)	Bits	Bits	5000	8500	11000	0	24.998									FALSE	5	NP	F	0	-	564		FALSE	8	NP	F	0	-	807		TRUE	11	NP	F	0	-	972										FALSE	5	NP	F	0	-	556		FALSE	9	NP	F	0	-	784		TRUE	11	EX	AAA	1724	2	935	2.49980000E+001									
garden	Bits	Bits	4000	7000	11000	21.58	32.184									FALSE	4	NP	F	0	-	440		FALSE	7	NP	F	0	-	773		TRUE	10	HC	A	1660	31	1100	2.15800000E+001									FALSE	4	NP	F	0	-	461		FALSE	7	NP	F	0	-	774		TRUE	12	HC	AA	2384	35	1396	3.21840000E+001									
Agnus Dei	Bits	Bits	5000	8500	10500	0	26.068									FALSE	5	NP	F	0	-	466		TRUE	9	NP	F	0	-	850		TRUE	10	NP	F	0	-	1051										FALSE	5	NP	F	0	-	465		TRUE	8	NP	F	0	-	791		TRUE	11	EX	AA	1862	13	1051	2.60680000E+001									
Tizona d'El Cid	Bits	Bits	5000	9500	5000	0	27.48									FALSE	5	NP	F	0	-	495		TRUE	9	NP	F	0	-	1000		TRUE	10	NP	F	0	-	1178										FALSE	5	NP	F	0	-	491		TRUE	10	FC	AAA	1832	3	1000	2.74800000E+001																	
EMPTY OF THE SKY	Bits	Bits	3000	5000	8000	22.12	24.27									FALSE	3	NP	F	0	-	334		TRUE	5	FC	AAA	958	1	526		TRUE	8	HC	AAA	1580	14	843	2.21200000E+001									FALSE	3	NP	F	0	-	334		TRUE	5	NP	F	0	-	526		TRUE	8	FC	AAA	1618	1	842	2.42700000E+001									
tant pis pour toi	Bits	Bits	4500	8500	5000	0	0									FALSE	5	NP	F	0	-	385		TRUE	8	NP	F	0	-	676		TRUE	10	NP	F	0	-	862										FALSE	4	NP	F	0	-	385		TRUE	9	NP	F	0	-	676																		
100% minimoo-G	Bits	Bits	4500	10000	11000	14.412	34.902									FALSE	5	NP	F	0	-	474		TRUE	10	NP	F	0	-	871		TRUE	11	HC	B	1201	32	903	1.44120000E+001									FALSE	4	NP	F	0	-	474		TRUE	10	EX	AAA	1631	3	871		TRUE	11	EX	AA	2493	13	1414	3.49020000E+001									
PLASMA	Bits	Bits	4500	8000	4500	0	22.965									FALSE	4	NP	F	0	-	479		TRUE	8	NP	F	0	-	848		TRUE	9	NP	F	0	-	1145										FALSE	5	NP	F	0	-	479		TRUE	8	FC	AAA	1531	4	848	2.29650000E+001																	
in motion	Bits	Bits	5000	6000	7500	0	0									FALSE	5	NP	F	0	-	432		FALSE	6	NP	F	0	-	545		TRUE	7	NP	F	0	-	661										FALSE	5	NP	F	0	-	432		FALSE	6	NP	F	0	-	545		TRUE	8	NP	F	0	-	661										
SigSig	Base	Base	0	0	0	25.376	31.108	TRUE	3	NP	F	0	-	338		TRUE	5	NP	F	0	-	548		TRUE	7	NC	B	1071	125	864		TRUE	10	HC	A	1952	58	1309	2.53760000E+001									TRUE	5	NP	F	0	-	552		TRUE	7	NP	F	0	-	884		TRUE	11	EX	AA	2222	20	1259	3.11080000E+001									
ラクエン	Bits	Bits	4000	7500	11000	0	26.7815									FALSE	4	NP	F	0	-	369		FALSE	6	NP	F	0	-	498		TRUE	11	NP	F	0	-	1034										FALSE	4	NP	F	0	-	368		FALSE	9	NP	F	0	-	723		TRUE	11	EX	AAA	1847	5	1033	2.67815000E+001									
Get'em up to R.A.V.E	Bits	Bits	5000	8000	5000	0	0									FALSE	5	NP	F	0	-	599		TRUE	8	NP	F	0	-	892		TRUE	10	NP	F	0	-	1158										FALSE	5	NP	F	0	-	595		TRUE	8	NP	F	0	-	890																		
alla turca con passione	Bits	Bits	4500	8000	10000	0	28.4055									FALSE	5	NP	F	0	-	409		FALSE	8	NP	F	0	-	829		TRUE	10	NP	F	0	-	1103										FALSE	4	NP	F	0	-	396		FALSE	8	NP	F	0	-	831		TRUE	10	EX	AAA	1959	4	1057	2.84055000E+001									
GREEN EYES	Bits	Bits	6000	8500	10500	0	27.804									FALSE	6	NP	F	0	-	507		FALSE	8	NP	F	0	-	827		TRUE	10	NP	F	0	-	1123										FALSE	6	NP	F	0	-	494		FALSE	9	NP	F	0	-	828		TRUE	11	EX	AA	1986	10	1123	2.78040000E+001									
SCREAM SQUAD	Bits	Bits	6500	10000	12000	20.241	26.012									FALSE	7	NP	F	0	-	609		TRUE	10	NP	F	0	-	869		TRUE	12	HC	A	1557	26	1073	2.02410000E+001									FALSE	6	NP	F	0	-	579		TRUE	10	NP	F	0	-	863		TRUE	12	EX	AA	1858	13	1072	2.60120000E+001									
PATRIOTISM	Bits	Bits	3500	7000	4500	20.628	18.6905									FALSE	4	NP	F	0	-	390		TRUE	7	NC	A	987	30	679		TRUE	9	HC	AA	1528	16	929	2.06280000E+001									FALSE	3	NP	F	0	-	386		TRUE	7	EX	AAA	1289	2	679	1.86905000E+001																	
Aurora	Bits	Bits	7000	10000	11000	16.84	29.722									FALSE	7	NP	F	0	-	714		TRUE	10	NP	F	0	-	1100		TRUE	11	F	B	1684	-	1280	1.68400000E+001									FALSE	7	NP	F	0	-	675		TRUE	10	EX	AAA	1933	5	1043		TRUE	11	EX	AA	2123	15	1218	2.97220000E+001									
Votum stellarum	Bits	Bits	4000	10000	5000	0	25.9405									FALSE	4	NP	F	0	-	413		TRUE	9	NP	F	0	-	857		TRUE	10	NP	F	0	-	1017										FALSE	4	NP	F	0	-	413		TRUE	11	EX	AAA	1789	5	965	2.59405000E+001																	
Scripted Connection⇒ N mix	Bits	Bits	6000	8500	10000	0	28.784									FALSE	6	NP	F	0	-	674		FALSE	8	NP	F	0	-	858		TRUE	10	NP	F	0	-	1073		TRUE	11	NP	F	0	-	1247		FALSE	6	NP	F	0	-	661		FALSE	9	NP	F	0	-	909		TRUE	10	EX	AA	2056	8	1179	2.87840000E+001	TRUE	11	NP	F	0	-	1349		
Scripted Connection⇒ H mix	Bits	Bits	7500	10000	11000	27.5805	32.13									FALSE	7	NP	F	0	-	875		TRUE	10	NP	F	0	-	1059		TRUE	11	HC	AA	2043	40	1275	2.75805000E+001	TRUE	12	NP	F	0	-	1466		FALSE	8	NP	F	0	-	879		TRUE	10	NP	F	0	-	1005		TRUE	11	EX	AA	2295	7	1366	3.21300000E+001	TRUE	12	NP	F	0	-	1526		
Scripted Connection⇒ A mix	Bits	Bits	7500	10000	11500	30.056	39.177									FALSE	7	NP	F	0	-	865		TRUE	10	NP	F	0	-	1155		TRUE	12	HC	A	2312	44	1575	3.00560000E+001	TRUE	12	NP	F	0	-	1749		FALSE	8	NP	F	0	-	1079		TRUE	10	EX	AAA	2273	3	1269		TRUE	11	EX	AA	2430	12	1382		TRUE	12	HC	AA	2902	18	1816	3.91770000E+001	
華蝶風雪	Bits	Bits	6500	10000	11500	0	53.284									FALSE	6	NP	F	0	-	638		TRUE	10	NP	F	0	-	1064		TRUE	11	NP	F	0	-	1500		TRUE	12	NP	F	0	-	2014		FALSE	7	NP	F	0	-	626		TRUE	10	NP	F	0	-	1041		TRUE	12	EX	AA	2606	14	1481		TRUE	12	HC	AAA	3806	35	2135	5.32840000E+001	
タシカナモノ	Base	Base	0	0	0	0	0									TRUE	5	NP	F	0	-	472		TRUE	7	NP	F	0	-	726		TRUE	9	NP	F	0	-	1026										TRUE	5	NP	F	0	-	470		TRUE	7	NP	F	0	-	797		TRUE	10	NP	F	0	-	1191										
The Dirty of Loudness	Bits	Bits	7000	10000	10500	15.84	33.21									TRUE	7	NP	F	0	-	740		TRUE	10	EC	C	1186	109	1154		TRUE	11	F	B	1584	103	1327	1.58400000E+001									TRUE	7	NP	F	0	-	723		TRUE	10	NP	F	0	-	1122		TRUE	10	FC	AAA	2214	1	1189	3.32100000E+001									
D.C.fish	Bits	Bits	5000	8500	11000	27.216	32.625									FALSE	5	NP	F	0	-	513		FALSE	9	NP	F	0	-	998		TRUE	11	EX	AA	1944	18	1178	2.72160000E+001									FALSE	5	NP	F	0	-	505		FALSE	8	NP	F	0	-	888		TRUE	11	EX	AAA	2250	5	1228	3.26250000E+001									
嘆きの樹	Bits	Bits	7500	11000	12000	30.899	42.0795									FALSE	8	NP	F	0	-	902		TRUE	11	NP	F	0	-	1281		TRUE	12	NP	A	2809	111	2000	3.08990000E+001									FALSE	7	NP	F	0	-	875		TRUE	11	EX	AA	2180	12	1281		TRUE	12	HC	AA	3117	49	2000	4.20795000E+001									
Melody Life	Bits	Bits	4000	6000	4500	0	0									FALSE	4	NP	F	0	-	397		FALSE	6	NP	F	0	-	673		FALSE	9	NP	F	0	-	933										FALSE	4	NP	F	0	-	399		FALSE	6	NP	F	0	-	643																		
wish	Bits	Bits	4000	6000	7500	20.73	21.87									FALSE	4	NP	F	0	-	401		FALSE	6	NP	F	0	-	600		TRUE	7	FC	AAA	1382	1	758	2.07300000E+001									FALSE	4	NP	F	0	-	400		FALSE	6	NP	F	0	-	601		TRUE	8	FC	AAA	1458	1	784	2.18700000E+001									
Bloody Tears(IIDX EDITION)	Bits	Bits	5000	9500	10500	0	33.495									FALSE	5	NP	F	0	-	574		TRUE	9	NP	F	0	-	1012		TRUE	10	NP	F	0	-	1094										FALSE	5	NP	F	0	-	574		TRUE	10	NP	F	0	-	1009		TRUE	11	EX	AAA	2310	7	1280	3.34950000E+001									
CONTRACT	Sub	TRI3	0	0	0	21.303	21.294									TRUE	9	HC	AA	1053	5	648		TRUE	10	HC	A	1188	22	863		TRUE	11	EX	A	1578	6	1056	2.13030000E+001	TRUE	12	NP	F	0	-	1418		TRUE	7	NP	F	0	-	607		TRUE	10	EX	AA	1521	9	856	2.12940000E+001	TRUE	12	HC	A	1506	34	1050		TRUE	12	NP	F	0	-	1545		
INFERNO	Bits	Bits	5000	7000	9500	0	16.577									FALSE	5	NP	F	0	-	601		FALSE	7	NP	F	0	-	828		TRUE	9	NP	F	0	-	1008										FALSE	5	NP	F	0	-	600		FALSE	7	NP	F	0	-	856		TRUE	10	NC	B	1507	50	1175	1.65770000E+001									
DEEP ROAR	Bits	Bits	4500	7000	9000	0	25.1865									FALSE	4	NP	F	0	-	503		FALSE	7	NP	F	0	-	726		TRUE	9	NP	F	0	-	976										FALSE	5	NP	F	0	-	503		FALSE	7	NP	F	0	-	721		TRUE	9	EX	AAA	1737	6	969	2.51865000E+001									
Leaving...	Bits	Bits	4000	7500	10000	12.06	27.42									FALSE	4	NP	F	0	-	396		FALSE	8	NP	F	0	-	714		TRUE	10	F	C	1206	142	1116	1.20600000E+001									FALSE	4	NP	F	0	-	386		FALSE	7	NP	F	0	-	714		TRUE	10	FC	AAA	1828	0	1024	2.74200000E+001									
ALFARSHEAR 双神威に廻る夢	Bits	Bits	5500	8000	10000	0	17.721	TRUE	2	NP	F	0	-	222		FALSE	5	NP	F	0	-	548		TRUE	7	NP	F	0	-	838		TRUE	10	NP	F	0	-	1049										FALSE	6	NP	F	0	-	548		TRUE	9	NP	F	0	-	838		TRUE	10	F	A	1611	-	1043	1.77210000E+001									
Why did you go away	Bits	Bits	5000	8500	10500	21.515	30.6675	TRUE	3	NP	F	0	-	322		FALSE	5	NP	F	0	-	559		FALSE	8	NP	F	0	-	904		TRUE	10	HC	A	1655	34	1166	2.15150000E+001									FALSE	5	NP	F	0	-	552		FALSE	9	NP	F	0	-	901		TRUE	11	EX	AAA	2115	7	1165	3.06675000E+001									
Apocalypse ～dirge of swans～	Base	Base	0	0	0	0	28.084	TRUE	1	NP	F	0	-	121		TRUE	5	NP	F	0	-	510		TRUE	9	NP	F	0	-	921		TRUE	10	NP	F	0	-	1214										TRUE	5	NP	F	0	-	480		TRUE	8	NP	F	0	-	981		TRUE	11	EX	AA	2006	12	1270	2.80840000E+001									
iFUTURELIST	Bits	Bits	4000	6000	4000	0	15.515									FALSE	4	NP	F	0	-	354		TRUE	6	NP	F	0	-	585		TRUE	8	NP	F	0	-	854										FALSE	4	NP	F	0	-	352		TRUE	6	EX	AAA	1070	1	573	1.55150000E+001																	
Heavenly Sun (IIDX VERSION)	Base	Base	0	0	0	37.154	41.5135									TRUE	4	NP	F	0	-	421		TRUE	7	NP	F	0	-	806		TRUE	10	F	C	1037	-	1060		TRUE	11	NC	AAA	2858	5	1550	3.71540000E+001	TRUE	4	NP	F	0	-	421		TRUE	8	NP	F	0	-	805		TRUE	10	FC	AAA	2034	0	1060		TRUE	11	EX	AAA	2863	7	1504	4.15135000E+001	
with you…	Base	Base	0	0	0	16.588	37.455									TRUE	4	NP	F	0	-	398		TRUE	6	NP	F	0	-	580		TRUE	9	HC	A	1276	14	891	1.65880000E+001									TRUE	4	NP	F	0	-	398		TRUE	7	NP	F	0	-	580		TRUE	11	FC	AAA	2497	0	1324	3.74550000E+001									
Winning Eleven9 Theme(IIDX EDITION)	Bits	Bits	4000	7000	4500	0	0									FALSE	4	NP	F	0	-	420		TRUE	7	NP	F	0	-	730		TRUE	9	NP	F	0	-	868										FALSE	4	NP	F	0	-	420		TRUE	7	NP	F	0	-	730																		
bluemoon	Base	Base	0	0	0	0	31.5085									TRUE	4	NP	F	0	-	292		TRUE	7	NP	F	0	-	867		TRUE	10	NP	F	0	-	1174										TRUE	5	NP	F	0	-	473		TRUE	10	NP	F	0	-	961		TRUE	11	EX	AAA	2173	8	1207	3.15085000E+001									
This is Love	Bits	Bits	4500	8000	5000	0	0									FALSE	4	NP	F	0	-	473		TRUE	8	NP	F	0	-	910		TRUE	10	NP	F	0	-	1249										FALSE	5	NP	F	0	-	489		TRUE	8	NP	F	0	-	906																		
Ganymede	Bits	Bits	7000	10500	11500	14.2	35.67									FALSE	6	NP	F	0	-	571		TRUE	10	NP	F	0	-	884		TRUE	11	F	B	1420	130	1199	1.42000000E+001	TRUE	12	NP	F	0	-	1356		FALSE	8	NP	F	0	-	612		TRUE	11	EX	AAA	1726	16	951		TRUE	12	EX	AAA	2460	16	1363	3.56700000E+001	TRUE	12	AC	AAA	2504	18	1391		
Ubiquitous Fantastic Ride	Bits	Bits	3500	7500	8500	0	21.779									FALSE	4	NP	F	0	-	325		FALSE	7	NP	F	0	-	628		TRUE	8	NP	F	0	-	835										FALSE	3	NP	F	0	-	337		FALSE	8	NP	F	0	-	615		TRUE	9	EX	AAA	1502	4	792	2.17790000E+001									
BALLAD THE FEATHERS	Bits	Bits	4500	7000	4000	5.17	15.72									FALSE	4	NP	F	0	-	367		FALSE	6	NP	F	0	-	554		TRUE	8	F	D	517	-	764	5.17000000E+000									FALSE	5	NP	F	0	-	357		FALSE	8	FC	AAA	1048	0	560	1.57200000E+001																	
Sun Field	Bits	Bits	4000	8500	11000	0	27.37									FALSE	3	NP	F	0	-	287		FALSE	8	NP	F	0	-	777		TRUE	11	NP	F	0	-	1234										FALSE	5	NP	F	0	-	449		FALSE	9	NP	F	0	-	856		TRUE	11	EX	AA	1955	10	1158	2.73700000E+001									
tripping contact	Bits	Bits	6500	9500	6000	0	26.124									FALSE	6	NP	F	0	-	686		TRUE	9	NP	F	0	-	989		FALSE	12	NP	F	0	-	1360										FALSE	7	NP	F	0	-	725		TRUE	10	EX	AA	1866	8	1081	2.61240000E+001																	
